"ID","string","score"
"R/54894ff89a5f0793b021d9e5523ef","1⃣0⃣0⃣                 🏃",0
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??",0
"R/547b6e3958a0fd4ac22f5001d3bb9","Just licked my plate like a dog. Not even ashamed",0
"R/54761989ee488d1660467638b6784","Kegger at lous",0
"R/5474eb68e507c9b0b4ca32f8576fb","Anyone wanna trade a 6:00 westbury bus ticket for a 6:00 huntington bus ticket??",0
"R/547f0c5567ba959c03842ed61e186","Does that mean we have a quiz or are you just telling us you dislike giving quizzes during the last class...?",0
"R/54796ea30b456e975c068083b55da","I'd do anything to fuck you",0
"R/547bae0bcc094a986e154ee7610ee","What time is Southside open to tn?",0
"R/548b1d2c469ec8b212ae80795f79f","Would you date someone who was of a different race than yourself? It doesn't matter what race he is we're all black when the lights go out. ",0
"R/5474f1c35a1be3d265c58dd8cf60e","Things at geneseo go miraculously wrong..:",0
"R/5475f6a71ebf761af67d6eb55c253","Raise your hand if you're all alone in ambassador 🙋",0
"R/5483c93174aa2d7b63cfc5b06bee2","I am a man and I don't enjoy sex or masturbation... It's just a chore I need to do like showering",0
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??",0
"R/548998ef6233613472d3e5b262c14","Bouchers final is gonna be easy. It's all notes and half of it Will be Death of a salesman.",0
"R/54755de547ff68c5a64bfe40a0fe5","Might be stuck here until Thursday 💁🔫",0
"R/54876d347ed85908ff32a80c986dc","Trying to find which computers actually connect to the printers in the union is like playing minesweeper. ",0
"R/5489cbaea3f7c24c2065d931cffee","Geology knowledge get in my brain!",0
"R/5477e1d630b7d932840c09134ff59","how wanna fuck? (; ",0
"R/5482d60a01896cbbac170504ff00b","Fuck is u sayin bitch my hood love me",0
"R/54829c9b2d6eb38f1859d1a618241","Sigh...",0
"R/54893680356a80c8815ae2fd13a5e","Everyone. All the time. #true",0
"R/5474b9254106005402516e00cd581","Girls who wants a little last-minute cuddling before break? 😉",0
"R/548a68013c54ab3fd2f493786be05","Nobody gets me at this school ",0
"R/547f2e006b624865c0ad4bc07a4b8","Anyone whose in Lofkrantz what am I missing? ",0
"R/548bebede16620d6c6d51b222f567","Fuck you",0
"R/547502f1ee605881c4396d6df3a64","Got to get that pre bus shit ",0
"R/548bea3373db22e822dbed1ec8493","I can't fucking sleep ",0
"R/547352e5e2b5af83bf20e76ea94e4","This is the last night you'll be alone look me in the eyes so I know you know. I'm everywhere you want me to be . The last night you'll spend alone I'm everything you need me to be",0
"R/547a0d3807d6b9bbabca92932a10f","Can't wait to be back at school...the yaks are way better there!",0
"R/54800f4a274e136390bc71e6a9705","If CAS came up the idea it probably sucks! ",0
"R/547e2e90b967fa4ddb36e218a03c4","I don't like the village cafe. It's generic and boring af",0
"R/54891924623d4e9b9b1bcf2fae6d3","What is brea's 202 final on?",0
"R/5477cb0845d2e9e02fcf972f4b556","Raise your hand if you're all alone in the meadows 🙋",0
"R/548b9a51845f677b1ff9d0410dc3b","White lives matter ",0
"R/54737c51cc1c06d0a79f35cc4ad72","I dislike hugging people",0
"R/548223aa8e2982929f2ff10988359","Today we care tomorrow we forget ",0
"R/547fbab7a89e6a1b85c34ffb20e8d","Does anyone know when the next physics 1 padalino quiz/test is?",0
"R/548a708bcab0d3c196b9a057361f5","When I die bury me inside the Gucci store",0
"R/54761989ee488d1660467638b6784","Kegger at lous",0
"R/54761989ee488d1660467638b6784","Kegger at lous",0
"R/54741fa83d7095583c3bbec62ed57","Cheap tickets both ways to Long Island if you want them",0
"R/5487c8e416bdcd4bf177be1e677ff","When your friend out of nowhere has lost 50 pounds and looks like a fashion model",0
"R/54884278184098bba44e8b41a9c58","I still haven't slept and I have a final in 4 hours. :(",0
"R/5475daceeea48a3e4792b3359dd74","Dedication is driving to work with a flat tire so you can get to work on time...",0
"R/5489647043d3f5626bda21c3bee62","About to fuck this velveeta up",0
